Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,,
1.21,-0.05,-1.29,0.65,0.005,,
1.22,-0.27,-0.08,-1.39,0.005,,
1.23,1.2,-0.31,-0.56,-0.022,,
1.24,0.83,-0.69,0.12,-0.005,,
1.25,-1.16,-0.61,-0.26,-0.005,,
1.26,0.24,-0.99,-3.27,0,,
1.27,-1.08,-0.76,2.23,0.011,,
1.28,-0.12,-0.61,3.89,0.011,,
1.29,2.09,1.51,-3.05,-0.016,,
1.3,-1.16,2.27,-0.56,0.005,,
1.31,0.02,-1.22,2.08,-0.005,,
1.32,0.76,0.75,-1.39,0.005,,
1.33,0.54,-0.08,-2.07,0.005,,
1.34,-0.27,-1.9,1.63,0.011,,
1.35,0.61,1.89,-0.86,-0.016,,
1.36,1.13,0.83,-0.71,-0.005,,
1.37,-2.19,-1.52,1.47,0.011,,
1.38,0.61,1.66,-1.69,0.005,,
1.39,-0.94,1.66,-0.18,0.016,,
1.4,-1.01,1.66,1.32,0.005,,
1.41,0.69,-0.61,1.17,-0.005,,
1.42,-0.79,2.04,-0.03,0.011,,
1.43,3.34,-1.37,-0.79,-0.005,,
1.44,-2.34,-0.16,-0.86,0.016,,
1.45,-1.89,-1.29,0.49,0.016,,
1.46,-1.67,0.45,0.49,0.011,,
1.47,2.09,-4.02,4.04,-0.016,,
1.48,0.83,3.1,-1.39,-0.011,,
1.49,-1.89,-0.08,1.17,0.005,,
1.5,0.61,-1.14,-0.94,0,,
1.51,1.06,3.1,-1.47,-0.005,,
1.52,-2.71,0.53,3.74,0.027,,
1.53,1.2,0.6,-2.29,-0.005,,
1.54,2.01,1.36,0.04,-0.005,,
1.55,-1.16,-1.59,0.42,0,,
1.56,-1.53,-2.5,-1.16,0.011,,
1.57,0.91,0.75,-0.79,-0.011,,
1.58,-0.57,-0.38,3.06,0.016,,
1.59,0.98,-2.88,-0.94,-0.011,,
1.6,0.98,0.68,-4.41,-0.005,,
1.61,-0.57,0.83,-0.86,0.005,,
1.62,-1.75,-3.11,1.1,0.011,,
1.63,2.09,0.6,-0.41,0,,
1.64,-0.57,1.66,1.32,0.022,,
1.65,-1.08,-1.14,4.64,0.011,,
1.66,-0.27,-0.23,-0.94,0.016,,
1.67,1.13,2.64,-1.09,-0.005,,
1.68,0.1,-1.22,3.13,-0.005,,
1.69,0.98,-0.53,-4.41,0,,
1.7,-1.53,1.51,-0.56,0.005,,
1.71,-0.94,-2.73,4.11,0.016,,
1.72,-1.16,2.19,-0.03,0.011,,
1.73,1.35,-1.06,-5.39,-0.011,,
1.74,-1.38,1.51,2.83,0.016,,
1.75,0.32,2.27,2.38,-0.005,,
1.76,0.1,-1.82,-1.16,0,,
1.77,0.24,2.27,2,0,,
1.78,2.09,-0.61,2.53,-0.011,,
1.79,2.01,-1.44,-4.56,-0.016,,
1.8,-2.41,2.95,-1.69,0.033,,
1.81,-3.74,-2.43,4.41,0.022,,
1.82,1.87,5.45,-1.77,0.005,,
1.83,3.27,-0.38,4.04,-0.005,,
1.84,-3.22,1.43,1.63,0.027,,
1.85,0.39,-2.88,-3.05,0.011,,
1.86,-2.71,0.9,3.36,0.038,,
1.87,3.12,4.76,-2.97,-0.011,,
1.88,-0.35,-2.05,-2.75,0.011,,
1.89,2.09,-2.35,0.27,-0.011,,
1.9,-0.79,0.68,-0.33,0.016,,
1.91,-1.75,-3.94,-1.54,0.011,,
1.92,-0.79,2.04,2.76,0.011,,
1.93,0.83,-1.75,3.28,-0.016,,
1.94,-1.16,-0.23,-1.24,0.005,,
1.95,3.05,3.93,-1.99,-0.011,,
1.96,-1.23,-3.11,1.55,0.016,,
1.97,0.39,1.96,-3.8,0.016,,
1.98,-1.6,-0.69,-2.75,0.022,,
1.99,-1.97,-2.88,8.11,0.022,,
2,4.74,0.22,-1.84,-0.005,,
2.01,-1.45,1.66,-1.31,-0.005,,
2.02,-1.38,2.42,2.91,0.022,,
2.03,3.34,-1.97,-2.97,-0.016,,
2.04,-0.57,1.51,2.83,0.005,,
2.05,-0.86,-1.67,-0.56,0.016,,
2.06,-2.63,0.83,0.49,0.016,,
2.07,5.78,3.7,-2.6,-0.033,,
2.08,-1.82,2.04,3.96,0.005,,
2.09,-2.26,1.74,-2.82,0.027,,
2.1,1.5,-4.24,-3.5,0,,
2.11,-2.63,-2.5,6.68,0.016,,
2.12,0.02,-1.52,-3.27,-0.005,,
2.13,4.74,-0.23,-6.97,-0.033,,
2.14,1.65,0.83,5.92,-0.005,,
2.15,-4.18,-0.08,-0.18,0.038,,
2.16,-0.86,5.14,-4.18,0.011,,
2.17,-0.35,1.43,3.06,0,,
2.18,1.79,0.9,1.78,-0.016,,
2.19,2.31,-0.08,0.8,-0.011,,
2.2,-0.71,2.64,-3.2,0.022,,
2.21,-2.26,-3.64,3.28,0.011,,
2.22,0.24,0.22,2.3,0.005,,
2.23,3.42,-1.52,-0.71,-0.016,,
2.24,-1.75,0.83,-0.79,0.011,,
2.25,-1.01,2.42,-1.09,0.011,,
2.26,-0.71,-1.52,-0.56,0.011,,
2.27,-1.01,0.22,-0.86,0,,
2.28,-0.12,1.36,1.63,-0.005,,
2.29,3.93,0,0.42,-0.022,,
2.3,-2.56,-1.37,2.08,0.016,,
2.31,1.72,2.27,-3.27,-0.011,,
2.32,-3.22,-3.87,1.78,0.027,,
2.33,0.1,0.6,3.28,0,,
2.34,2.31,2.57,-5.08,-0.022,,
2.35,1.13,-2.5,2.45,0,,
2.36,-0.2,1.43,-0.18,0.011,,
2.37,-2.04,0.07,-1.62,0.016,,
2.38,1.13,-0.61,1.1,0.011,,
2.39,-0.42,1.96,-2.29,-0.011,,
2.4,0.24,-2.12,-1.01,0,,
2.41,1.87,1.81,-1.77,0,,
2.42,-0.27,-2.5,1.55,0.005,,
2.43,0.02,1.81,-1.01,0.016,,
2.44,0.54,2.64,-1.24,-0.005,,
2.45,-0.79,-1.59,2.98,0.011,,
2.46,1.65,3.1,-3.65,-0.011,,
2.47,-1.16,-2.28,2.83,0.005,,
2.48,0.76,-1.97,0.34,-0.005,,
2.49,1.72,-1.29,-4.93,-0.005,,
2.5,-4.7,-0.46,3.96,0.038,,
2.51,0.98,3.4,-2.22,0,,
2.52,-0.57,0.45,-0.18,0.011,,
2.53,0.02,-1.44,2.83,0,,
2.54,2.68,0.75,-3.2,-0.022,,
2.55,-0.35,2.87,-1.16,0.011,,
2.56,-0.57,-1.14,3.28,0.005,,
2.57,-1.89,0.37,1.47,0.033,,
2.58,3.56,3.48,0.65,-0.016,,
2.59,-3.3,-3.79,3.59,0.033,,
2.6,1.13,0.75,-4.78,-0.011,,
2.61,1.42,1.43,-1.54,-0.016,,
2.62,-2.63,-2.88,2.76,0.022,,
2.63,-1.16,0.98,-1.39,0.011,,
2.64,1.5,-2.12,-1.09,-0.011,,
2.65,0.1,0.68,3.43,0,,
2.66,-1.3,1.36,-3.12,0.011,,
2.67,-0.42,-0.76,2.53,0.011,,
2.68,0.39,0.22,4.04,-0.005,,
2.69,-0.49,-0.23,1.55,0.011,,
2.7,1.35,-0.99,-1.54,-0.005,,
2.71,-0.64,-1.52,0.27,0.005,,
2.72,-0.42,1.43,1.47,-0.005,,
2.73,-1.01,1.66,-2.22,0.016,,
2.74,0.02,-3.41,2,0.005,,
2.75,0.02,2.72,1.93,0.005,,
2.76,0.61,-0.23,-4.25,-0.005,,
2.77,-0.49,-0.46,-0.03,-0.005,,
2.78,-2.49,2.49,-0.49,0.022,,
2.79,0.91,0,0.12,-0.005,,
2.8,1.42,1.28,-1.31,-0.005,,
2.81,-1.08,-3.87,2.3,0.005,,
2.82,0.98,2.04,-3.8,-0.016,,
2.83,-0.05,-1.59,-0.71,0,,
2.84,-0.86,0.07,6.9,0,,
2.85,0.47,2.72,-2.6,-0.005,,
2.86,1.87,-0.84,-1.16,-0.011,,
2.87,-0.79,-0.38,0.12,0.005,,
2.88,0.24,0.37,-2.75,0.011,,
2.89,-1.82,0.37,-2.37,0.011,,
2.9,-0.35,0.22,2.83,0.016,,
2.91,0.32,1.81,2.76,0.005,,
2.92,-0.05,2.87,-3.27,0,,
2.93,-0.05,-3.41,2.76,0,,
2.94,1.5,1.21,-3.43,0,,
2.95,-0.35,-1.97,-0.26,-0.011,,
2.96,-1.01,-2.81,1.32,0.011,,
2.97,1.06,2.87,-0.49,0.005,,
2.98,-1.82,0.83,2.68,0.011,,
2.99,0.98,0.15,-0.49,-0.005,,
3,1.28,-2.28,-0.03,-0.005,,
3.01,0.24,1.89,-1.31,-0.005,,
3.02,-2.04,0.75,-0.86,0.011,,
3.03,0.54,0.9,-0.86,0.005,,
3.04,1.79,-2.12,2,0.005,,
3.05,0.98,1.28,1.47,0,,
3.06,-0.27,0.98,-2.29,0,,
3.07,-1.53,-3.03,-1.16,0.016,,
3.08,0.02,-0.99,1.85,0.005,,
3.09,-2.12,3.78,-0.11,0,,
3.1,-0.05,1.06,2.53,0,,
3.11,3.12,-1.14,-1.99,-0.033,,
3.12,-0.35,-1.52,1.1,-0.005,,
3.13,-2.56,5.37,-3.8,0.033,,
3.14,-2.19,-1.75,3.96,0.022,,
3.15,2.83,-2.73,-2.9,-0.011,,
3.16,-1.75,-1.9,-0.03,0.016,,
3.17,-0.42,0.83,-1.09,0.011,,
3.18,-0.71,-1.37,0.42,0,,
3.19,-2.78,2.87,3.28,0.016,,
3.2,1.06,-2.73,3.28,-0.005,,
3.21,2.68,2.04,-0.41,-0.011,,
3.22,2.53,2.8,-4.41,-0.016,,
3.23,-4.48,-2.2,-0.71,0.033,,
3.24,-1.38,0.53,-0.26,0.005,,
3.25,-0.86,0.22,1.55,0,,
3.26,-0.2,-2.2,2.98,0,,
3.27,3.86,2.19,-2.75,-0.016,,
3.28,-0.64,0,0.34,0,,
3.29,-0.27,-1.97,-0.33,0,,
3.3,-0.42,-2.96,-0.86,0.011,,
3.31,-1.16,2.57,-0.26,0.011,,
3.32,0.69,-1.29,3.13,-0.005,,
3.33,0.91,3.33,-0.41,-0.011,,
3.34,-0.42,-0.16,-1.24,0.005,,
3.35,1.06,-0.53,-1.69,0,,
3.36,-2.71,2.8,-2.14,0.011,,
3.37,0.24,-1.97,2.23,0,,
3.38,1.57,1.43,-1.09,-0.005,,
3.39,-0.94,1.43,-1.31,0,,
3.4,-0.71,-2.28,0.8,0.005,,
3.41,0.02,-0.38,-0.11,-0.005,,
3.42,-1.01,0.22,-0.49,0.005,,
3.43,-0.05,3.7,-1.01,0,,
3.44,1.65,-0.31,0.04,-0.011,,
3.45,1.28,-0.53,0.27,-0.005,,
3.46,-0.64,0.75,0.04,0.005,,
3.47,-1.97,-0.69,0.72,0.011,,
3.48,-1.16,-1.06,0.95,0.011,,
3.49,-0.12,2.95,-1.77,0,,
3.5,1.94,1.13,0.95,0,,
3.51,-1.53,-2.81,-0.41,0.005,,
3.52,-1.01,-2.65,1.02,0.016,,
3.53,-2.49,1.89,-1.62,0.022,,
3.54,-2.85,-0.31,1.47,0.016,,
3.55,1.42,-0.16,3.06,-0.011,,
3.56,1.28,-1.06,3.81,0,,
3.57,2.68,2.19,-0.03,-0.016,,
3.58,-1.67,-1.75,-5.16,0.016,,
3.59,0.69,0.53,-5.76,0.005,,
3.6,-3.96,2.72,4.11,0.011,,
3.61,-2.78,-1.82,2.83,0.016,,
3.62,5.19,-1.59,0.65,-0.033,,
3.63,0.32,2.04,2.38,0.005,,
3.64,-3.22,-1.52,-1.47,0.033,,
3.65,2.01,-0.61,-7.72,-0.016,,
3.66,1.13,-2.2,-1.47,0,,
3.67,-0.64,-1.22,-1.62,0.011,,
3.68,1.5,1.28,-1.84,-0.011,,
3.69,-0.94,-0.76,2.83,0.005,,
3.7,-4.92,1.59,6.07,0.038,,
3.71,-5.29,2.72,-1.39,0.027,,
3.72,0.61,-1.29,1.85,0.005,,
3.73,1.13,6.81,0.12,-0.005,,
3.74,3.49,1.66,-1.84,-0.005,,
3.75,2.09,1.43,-7.04,0.011,,
3.76,-3.59,2.87,-1.39,0.011,,
3.77,-4.7,-4.4,5.92,0.044,,
3.78,-0.42,2.64,3.59,0.005,,
3.79,1.2,-2.28,4.72,-0.005,,
3.8,0.54,3.4,3.51,-0.005,,
3.81,2.83,2.42,-4.86,-0.011,,
3.82,0.47,3.17,-1.99,0.016,,
3.83,-1.01,2.27,-1.47,0,,
3.84,-2.26,-0.69,1.02,0.022,,
3.85,0.32,-1.75,1.02,0.011,,
3.86,-1.53,0.9,3.36,0.011,,
3.87,-2.04,0.83,1.4,0.016,,
3.88,0.76,-0.53,2.23,0,,
3.89,-1.3,1.28,0.72,0.016,,
3.9,0.32,-1.29,-1.69,0.005,,
3.91,3.49,-1.06,-4.56,-0.022,,
3.92,0.02,-1.97,-0.64,0.005,,
3.93,-0.42,-0.91,1.4,0.005,,
3.94,-2.85,2.34,-0.41,0.033,,
3.95,-1.82,2.49,0.57,0.027,,
3.96,0.69,3.02,-0.49,-0.011,,
3.97,0.98,0.9,-2.67,-0.005,,
3.98,1.57,-4.55,-1.39,0.011,,
3.99,-0.35,-0.16,-2.37,-0.005,,
4,-4.03,0.75,1.55,0.027,,
4.01,-1.67,-2.35,2.83,0.011,,
4.02,-1.67,-0.61,-3.58,0,,
4.03,1.2,-5.15,-1.16,-0.011,,
4.04,2.68,-0.46,2.38,-0.011,,
4.05,-2.04,1.28,-1.16,0.016,,
4.06,-3.89,6.13,0.95,0.011,,
4.07,-0.49,0.45,3.81,-0.005,,
4.08,5.48,2.87,4.64,-0.033,,
4.09,0.02,2.57,0.04,-0.005,,
4.1,-3.81,-1.97,-4.71,0.038,,
4.11,1.13,-0.38,-5.76,-0.005,,
4.12,-4.03,2.72,2.38,0.016,,
4.13,0.1,3.86,0.42,0.011,,
4.14,5.11,2.57,0.04,-0.033,,
4.15,-1.08,-2.35,6.22,0.011,,
4.16,0.24,-1.75,-2.82,-0.005,,
4.17,-1.23,0,-3.95,0,,
4.18,-1.97,2.19,-0.56,0.005,,
4.19,1.5,2.42,-1.31,-0.027,,
4.2,-1.38,0.83,4.26,0.011,,
4.21,0.91,2.27,-0.11,-0.005,,
4.22,0.83,0,-2.14,0.005,,
4.23,-1.75,-2.28,1.4,0.022,,
4.24,0.02,0.15,-1.84,0,,
4.25,0.02,-1.9,1.1,0.016,,
4.26,0.69,-0.23,0.49,0.011,,
4.27,-0.71,-1.37,0.04,0.005,,
4.28,-1.08,0.68,-0.56,0.005,,
4.29,-0.64,-0.76,0.34,0,,
4.3,-0.64,2.95,-0.33,0,,
4.31,0.69,1.21,0.8,-0.011,,
4.32,-0.27,-0.99,0.87,0.005,,
4.33,-1.38,0.68,-1.84,0.016,,
4.34,-2.26,0.68,-1.01,0.005,,
4.35,1.2,-1.75,-0.64,0.005,,
4.36,-1.97,2.49,0.34,0.016,,
4.37,1.57,-2.58,1.93,-0.005,,
4.38,-2.12,0.07,2.38,0.011,,
4.39,-0.64,-1.29,-0.49,-0.005,,
4.4,0.91,1.89,-2.67,0.005,,
4.41,0.02,0.75,1.17,0.011,,
4.42,-1.23,-2.5,2.08,0.016,,
4.43,0.76,2.27,-0.26,0.011,,
4.44,-0.35,-1.97,1.32,0.005,,
4.45,-1.23,1.89,1.55,-0.005,,
4.46,-0.05,0.83,-2.6,0.011,,
4.47,-0.64,3.02,-2.6,0.011,,
4.48,-2.41,-0.61,0.65,0.022,,
4.49,-1.16,0.3,3.06,0.016,,
4.5,2.53,0.45,-1.47,-0.016,,
4.51,-1.01,-0.08,1.78,0.011,,
4.52,-1.01,1.06,1.47,0.011,,
4.53,-0.86,0.15,-3.27,0.005,,
4.54,-0.57,0.9,2.98,0,,
4.55,-2.19,1.13,2.23,0.011,,
4.56,1.06,-1.29,-1.31,-0.005,,
4.57,1.87,2.95,-1.99,-0.016,,
4.58,-1.23,-2.43,0.19,0.016,,
4.59,-1.89,1.36,-1.24,0.011,,
4.6,-1.16,-1.29,1.17,0.011,,
4.61,0.24,0.07,2.61,-0.005,,
4.62,2.46,2.04,-1.39,-0.011,,
4.63,-0.27,-1.22,-0.33,0.016,,
4.64,-0.57,1.81,-1.62,0.011,,
4.65,-1.75,0.07,0.95,0.027,,
4.66,-2.19,-0.76,1.25,0.011,,
4.67,1.79,0.07,-2.14,0,,
4.68,1.35,-2.2,1.02,0.005,,
4.69,-0.12,1.06,-1.62,0.005,,
4.7,-3.67,-0.53,-2.75,0.022,,
4.71,2.16,-1.22,0.72,-0.005,,
4.72,-1.08,1.51,3.81,0.016,,
4.73,-0.49,1.13,0.87,0,,
4.74,2.46,1.13,-3.5,-0.005,,
4.75,-3,-0.08,3.59,0.016,,
4.76,1.28,-0.16,-2.07,-0.005,,
4.77,0.47,2.49,-0.33,0.005,,
4.78,-3.37,0.75,3.51,0.022,,
4.79,2.75,1.43,-0.94,-0.005,,
4.8,-1.16,-0.31,-1.09,0.016,,
4.81,-0.86,-1.75,0.8,0.016,,
4.82,1.13,1.28,-1.16,-0.005,,
4.83,-1.16,0,0.72,0,,
4.84,-1.97,2.87,2.3,0.016,,
4.85,0.39,0.68,0.34,0.011,,
4.86,0.91,0.75,0.8,0,,
4.87,-0.71,1.28,0.34,0.005,,
4.88,0.39,-0.53,-2.75,0,,
4.89,-2.26,3.78,-1.39,0.016,,
4.9,-1.01,-1.75,2.53,0.011,,
4.91,0.54,1.96,1.7,-0.005,,
4.92,1.5,1.13,-1.09,-0.011,,
4.93,-1.67,-0.31,-0.33,0.016,,
4.94,-0.35,1.43,-2.45,0,,
4.95,-1.75,0.15,-0.86,0.022,,
4.96,0.83,-0.53,1.78,-0.005,,
4.97,-0.86,2.72,0.49,0.005,,
4.98,1.65,-0.31,-2.9,-0.005,,
4.99,-1.75,1.96,-0.56,0.005,,
5,-3,0.37,0.87,0.027,,
5.01,-0.2,-0.91,0.8,0.011,,
5.02,0.17,-1.06,0.8,0,,
5.03,0.83,-1.52,1.63,-0.005,,
5.04,1.79,0.07,-2.6,-0.011,,
5.05,-0.57,-0.16,-3.58,0,,
5.06,-2.34,1.13,2.08,0.016,,
5.07,-1.6,3.02,1.7,0.005,,
5.08,-0.12,-1.14,-1.92,0.005,,
5.09,3.27,-3.56,2.15,-0.011,,
5.1,0.1,2.19,-0.79,0.016,,
5.11,-2.12,0.07,-1.39,0.022,,
5.12,-1.01,-2.5,2.91,0.011,,
5.13,-0.57,2.42,-0.94,0.016,,
5.14,0.54,0.07,-0.18,0,,
5.15,1.72,2.87,0.65,0,,
5.16,-2.12,-0.16,1.25,0.016,,
5.17,-1.08,-0.31,0.57,0.005,,
5.18,0.02,0.53,-2.14,0.011,,
5.19,0.39,-1.75,-1.01,0.005,,
5.2,-0.05,-0.61,0.49,0.011,,
5.21,-0.12,1.74,-0.49,0,,
5.22,-0.86,-1.75,1.55,0.022,,
5.23,0.54,1.36,0.12,0,,
5.24,-0.79,0.3,2.15,0.016,,
5.25,-0.57,1.66,-2.37,-0.005,,
5.26,0.76,0.68,-1.69,0,,
5.27,-1.97,0.53,1.85,0.022,,
5.28,0.32,1.43,-2.37,0.005,,
5.29,-0.05,-2.43,-0.26,0.005,,
5.3,-1.08,0.45,-0.03,0.005,,
5.31,-0.42,-0.38,-1.01,0.005,,
5.32,-0.64,0.75,1.47,0.005,,
5.33,-1.16,0.68,2,0.005,,
5.34,2.24,0.68,-0.94,-0.016,,
5.35,-1.53,3.33,1.02,0.016,,
5.36,-1.3,-0.69,-0.71,0.005,,
5.37,-0.27,0.45,0.27,-0.005,,
5.38,0.76,0.75,-0.49,0.011,,
5.39,-0.05,-1.67,1.93,0,,
5.4,1.72,-0.69,-1.39,-0.011,,
5.41,-2.78,1.21,0.42,0.016,,
5.42,-2.49,1.89,-1.39,0.016,,
5.43,-0.86,-1.59,2.76,0,,
5.44,-0.12,3.55,-1.01,0.016,,
5.45,0.76,-1.9,0.95,-0.005,,
5.46,-1.3,-0.61,0.19,0.016,,
5.47,-0.42,-1.82,-0.71,0.022,,
5.48,-1.75,3.02,1.02,0.033,,
5.49,1.65,-0.23,-2.07,0,,
5.5,1.2,-3.03,0.34,-0.005,,
5.51,-0.12,3.55,-0.86,0,,
5.52,-1.53,0.22,0.87,0.022,,
5.53,-2.12,2.57,0.49,0.011,,
5.54,1.94,-1.14,-0.41,0,,
5.55,-0.27,0.3,0.87,0,,
5.56,-0.35,-3.56,-2.37,0.016,,
5.57,-2.12,0.22,0.04,0.011,,
5.58,-1.82,-0.23,0.57,0.011,,
5.59,0.69,-2.28,0.72,0,,
5.6,2.31,2.12,-2.22,0,,
5.61,-1.97,2.8,-0.56,0.016,,
5.62,-1.82,-1.67,0.57,0.011,,
5.63,0.69,2.87,-2.6,-0.005,,
5.64,-0.35,1.66,1.85,0.005,,
5.65,-1.75,-0.53,2.98,0.016,,
5.66,1.35,-1.14,-1.24,0,,
5.67,-0.49,-1.75,-0.79,0.011,,
5.68,-0.12,0.6,-1.47,0.005,,
5.69,0.24,0.75,-1.77,0.005,,
5.7,-1.53,0.83,1.55,0.011,,
5.71,0.47,0.98,-0.18,0.011,,
5.72,-1.53,-1.52,2.3,0.016,,
5.73,-0.71,2.12,-0.26,0,,
5.74,-0.42,-0.08,1.17,0.005,,
5.75,1.87,0.45,-1.09,-0.005,,
5.76,-0.05,-0.08,-1.24,0,,
5.77,-2.26,1.96,0.87,0.016,,
5.78,-1.67,1.89,0.8,0.016,,
5.79,2.24,0.83,-2.82,-0.011,,
5.8,-0.79,0.68,2.45,0.011,,
5.81,-0.64,1.74,-1.54,0.016,,
5.82,-0.42,-0.99,-0.49,0.016,,
5.83,-4.26,-0.69,2.3,0.044,,
5.84,2.9,0,1.93,-0.005,,
5.85,1.87,1.89,-3.73,-0.022,,
5.86,-0.27,-2.2,2.15,0.011,,
5.87,-1.16,0.45,-1.84,0,,
5.88,-2.49,2.19,-2.97,0.011,,
5.89,0.1,-2.12,3.43,0,,
5.9,-1.38,2.64,-0.56,0.016,,
5.91,0.76,-1.22,0.49,-0.016,,
5.92,0.24,2.72,0.72,-0.005,,
5.93,-2.41,-3.18,0.57,0.016,,
